LPG (LCU/cylinder),Units,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25
French Guiana ,EUR per 12.5 kg bottle,,,,,,,,,,,,,,,,,,,,,,,,,,22.51,22.05,21.38,21.06,20.83,21.95,21.93,23.1,22.71,23.61,23.28,20.68,20.66,20.72,21.1,20.74,20.32,19.45,18.06,18.23,17.99,18.68,19.12,20.12,19.98,19.61,19.59,17.89,18.69,19.34,20.22,19.48,19.67,20.62,20.62,21.81,22.55,23.03,23.29,24.49,22.69,23.1,24.44,25.65,26.39,27.54,28.78,27.59,26.01,27.52,27.68,28.39,27.31,26.45,24.63,24.57,24.48,24.48,21.18,22.57,21.44,22.84,23.8,22.73,22.45,20.7,19.64,20.23,20.67,21.1,20.73,21.19,22.84,23.01,23.35,22.69,22.71,21.41,22.26,22.98,22.91,23.73,22.73,25.10,24.85,26.18,25.18,24.55
Fiji (12kg cylinder) ,Fiji dollar per cylinder,27.85,28.35,28.35,28.35,33.38,33.38,33.38,30.7,30.7,30.7,,,,,,,32.04,32.04,32.04,33.78,33.78,33.78,33.55,33.55,33.55,38.48,38.48,38.48,33.94,33.94,33.94,34.38,34.38,34.38,38.8,38.8,38.8,36.84,36.84,36.84,34.37,34.37,34.37,35.89,35.89,35.89,31.58,35.89,34.58,34.58,37.08,37.08,38.47,37.42,29.41,31.64,30.79,30.42,31.09,31.77,33.53,33.53,33.39,36.07,37.79,38.43,36.83,34.88,36.74,40.51,42.84,44.96,48.3,46.24,44.98,47.63,48.3,49.35,47.32,44.56,44.35,43.01,42.22,40.8,41.8,42.7,40.24,45.85,44.65,38.59,38.37,34.56,32.62,35.35,39.3,41.46,42.18,41.6,42,42,42,42.33,41.47,40.12,39.28,39.63,39.46,39.91,40.92,41,42,41,
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,10.44,10.63,10.63,10.63,12.52,12.52,12.52,11.51,11.51,11.51,,,,,,,12.01,12.01,12.01,12.67,12.67,12.67,12.58,12.58,12.58,14.43,14.43,14.43,12.72,12.72,12.72,12.89,12.89,12.89,14.55,14.55,14.55,13.81,13.81,13.81,12.89,12.89,12.89,13.46,13.46,13.46,11.84,13.46,12.97,12.97,13.88,13.88,14.43,14.03,11.03,11.86,11.54,11.41,11.66,11.91,12.57,12.57,12.52,13.53,14.17,14.41,13.81,13.08,13.78,15.19,16.07,16.86,18.11,17.34,16.87,17.86,18.11,18.51,17.74,16.71,16.63,16.13,15.83,15.3,15.68,16.01,15.09,17.19,16.74,14.47,14.39,12.96,12.23,13.26,14.74,15.55,15.82,15.6,16,16,16,15.87,15.55,15.05,14.73,14.86,14.80,14.97,15.35,16,16,16,
Fiji (40kg cylinder) ,Fiji dollar per cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.32,129.32,129.32,122.79,122.79,122.79,114.56,114.56,114.56,119.64,119.64,119.64,105.25,105.25,115.26,115.26,123.42,123.42,128.22,124.72,98.02,105.46,102.62,101.39,103.65,102.1,105.89,111.76,111.29,120.24,125.96,128.11,122.76,116.27,122.48,135.05,142.81,149.88,161.01,154.14,149.94,158.75,161,164.51,157.72,148.52,147.84,143.37,140.73,135.99,139.35,142.34,134.13,152.82,148.84,128.62,127.9,115.2,108.74,117.84,131.01,138.19,140.61,138.68,,,,,,,,,,,,,,,
Fiji (50kg cylinder) ,Fiji dollar per cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.66,131.66,131.66,153.48,153.48,153.48,143.2,143.2,143.2,149.55,149.55,149.55,131.56,131.56,144.08,144.08,154.27,154.27,160.28,155.9,122.53,131.83,128.28,126.74,129.56,127.63,132.37,139.7,139.11,150.3,157.45,160.14,153.45,145.34,153.09,168.81,178.51,187.35,201.27,192.68,187.42,198.44,201.25,205.64,197.15,185.65,184.8,179.21,175.91,169.98,174.19,177.93,167.66,191.02,186.05,160.78,159.88,144,135.92,147.3,163.76,172.73,175.77,173.35,,,,,,,,,,,,,,,
Fiji (LPG per kg wholesale),Fiji dollar per kg,2.32,2.36,2.36,2.36,2.78,2.78,2.78,2.56,2.56,2.56,,,,,,,2.67,2.67,2.67,2.39,2.39,2.39,2.38,2.38,2.38,2.72,2.72,2.72,2.83,2.83,2.83,2.87,2.87,2.87,3.23,3.23,3.23,3.07,3.07,3.07,2.86,2.86,2.86,2.99,2.99,2.99,2.63,2.99,2.88,2.88,3.09,3.09,3.21,3.12,2.45,2.64,2.57,2.53,2.59,2.55,2.65,2.79,2.78,3.01,3.15,3.2,3.07,2.91,3.06,3.38,3.57,3.75,4.03,3.85,3.75,3.97,4.02,4.11,3.94,3.71,3.7,3.58,3.52,3.4,3.48,3.56,3.35,3.82,3.72,3.22,3.2,2.88,2.72,2.95,3.28,3.45,3.52,3.47,3.21,3.21,3.25,3.27,3.20,3.10,3.03,3.06,3.04,3.08,3.08,3.20,3.25,3.20,
Gabon (12.5kg cylinder),XAF/cylinder,,,,,,,,,,,,,,,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950
Ghana (based on biweekly price survey),GHS/kg,,,,,,,,,,,,,,3.97,4.44,4.66,4.64,4.40,4.33,4.28,4.58,4.71,4.78,4.91,5.04,4.89,4.86,4.72,4.75,4.75,4.86,5.05,5.05,5.27,5.68,5.46,5.12,4.95,5.10,5.59,5.72,5.63,5.43,,,,,,,5.67,5.84,5.75,4.89,4.64,4.70,5.04,5.03,4.98,5.21,5.30,5.38,5.83,5.99,6.14,6.25,6.36,6.36,6.86,7.32,7.37,7.98,8.47,8.39,8.27,8.84,10.55,11.10,10.94,10.94,10.24,10.96,11.22,11.70,15.10,14.58,13.01,14.31,14.61,13.06,12.60,10.96,10.11,13.00,13.00,12.99,12.69,12.64,,,,14.66,15.50,15.21,14.86,15.13,15.62,20.99,17.68,17.24,16.94,17.40,17.52,
Grenada - LPG 20 lb cylinder ,EC$/cylinder,42,42,42,42,42,42,42,42,42,42,42,42,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,,,,,,,,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,46,46,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,90,90,90,90,90,90,105,105,95,95,93,93,95,95,105,105,105,105,105,105,105,105,105,113,120,120,120,120,120,120,120,120,120,120,128,127,123,118,115,115,115,115,113,107,107,110,100,103,110,110,109,105,100,99,99,99,99,99,99,99,99,106,116,118,120,120,120,120,120,123,132,138,122,122,122,146,122,122,122,122,122,142,122,122,122,122,122,125,115,115,125,135,135,135,135,135,125,115,115,115,115,115,115,110,110,110,110,110,110,110,110,110,110
Honduras (LPG 25lb),HNL/cylinder,,,,,,,,,,,,,,247,255,257,262,263,263,263,263,263,263,263,263,263,263,269,273,274,286,289,291,298,309,309,292,278,278,278,278,278,278,258,258,258,258,258,258,258,245,241,233,231,231,234,234,234,234,235,238,241,238,238,238,238,238,238,238,238,238,238,238,251,253,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,,454,,,452,442,,,,,,458,460,462,,,468.5,470.5,474.5,488,60,485.5,487,,482,,,,,,491.31,494.1,495.87,497.36,500.11,503.11,498.57,492.66,491.19,493.32,493.57,493.86,495.09,492.04,,,,651,665,684.5,829,776,714.5,552,590.5,594,,,,,,694,769,794,809,,,834.5,859.5,884.5,905,899.5,899.5,899.5,899.5,899.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,,434.5,,,419,,,,,,,430.5,432.5,434.5,,,440.5,442.5,446.5,473,477.5,481.5,483,,,,,,493.55,,483,496.26,498.02,499.51,502.4,505.34,500.9,494.99,493.53,495.61,495.86,496.14,497.37,494.35,,,,681.5,695,714,858.5,805.5,744,581.5,593,594,,,,,,694,719,769,794,,809,,,834.5,859.5,884.5,899.5,899.5,899.5,899.5,899.5,899.5,899.5,899.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,,,,,518,535,,,,,,531,587,588,656,744.5,729.5,635,554,553.5,502.5,502.5,625,718.5,719,713,708,,625,,671.5,728.5,764.5,795,851,912,780.5,660,630,673.5,678.5,684.5,709.5,608.5,546.5,562,574.5,651,665,684.5,829,776,714.5,552,590.5,594,,,,,,694,760.7,794,809,,,834.5,859.5,884.5,905,899.5,899.5,899.5,899.5,899.5,949.5,983.00,1002.5,1027.5,1052.5,1052.5,1052.5,1052.5,1052.5,1052.5,1052.5,1114.5,1114.5,1114.5,1102.5,1102.5,1102.5,902.5,902.5,1052.5,902.5,903,903,803,803,803,803,803,803,803,803,803,803,803,803,803,803
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,,608,,,509.5,527.5,,,,,,529.5,584,585,651.5,737.5,723,631,552.5,564,524,597.5,649,742,747,741,,736,653.5,,698.5,754,789.5,820,879,939,809.5,589,659,701.5,706.5,712.5,737.5,637,574.5,590,605,981.5,695,714,858.5,805.5,744,581.5,593,594,,,,,,694,761.00,794,809,,,834.5,859.5,884.5,899.5,899.5,899.5,899.5,899.5,899.5,949.5,892.00,1003,1053,1053,1053,1053,1053,1053,1053,1053,1103,1103,1103,1103,1103,1103,903,903,1053,903,903,903,803,803,803,803,803,803,803,803,803,803,803,803,803,803
India (5 kg subsidized) - Mumbai ,INR/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India (5 kg subsidized) - New Delhi ,INR/cylinder,,156,156,156,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.5,161,162,162,162,164,164.5,166,176,177.5,179,179.5,252,256.5,263.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,,245,245,245,245,245,,,,,,196,216,,240,271.5,532,233,204.5,,186.5,212.5,229.5,,,,,,,,,,,,,,,,,,,,,,,,,241,246,253,,,,,,308,317,326,331.5,331.5,331.5,331.5,331.5,331.5,349.5,367.5,369,369,387,387,387,387,387,387,387,411,411,411,405,405,405,335,335,387,387,387,387,411,411,411,405,405,405,335,335,387,335,335,335,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,,240,,,187.5,194,,,,,,195.5,214.5,215,238,268.5,263.5,231,203.5,208,194,220,238,270.5,272.5,270.5,268.5,,329.5,,255.5,,,,,,,,,,,,,,,,,252,256.5,263.5,,,,,,,,,,,,,,,,,,307.5,325.5,325.5,331,331,331,331,331,331,349,362.00,369,387,387,387,387,387,387,387,387,405,405,405,405,405,405,335,335,387,335,335,335,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50,299.50
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,1.72,1.60,1.44,1.44,1.53,1.40,1.33,1.58,1.43,1.43,1.61,1.72,1.63,1.81,2.09,2.19,1.83,1.67,1.47,1.32,1.44,1.84,1.90,1.94,2.04,2.13,1.97,1.74,1.79,1.80,2.04,2.01,2.09,2.16,2.32,2.30,1.71,1.56,1.60,1.86,1.98,1.75,1.62,1.42,1.45,1.05,1.27,1.64,1.75,1.73,1.84,1.84,1.12,0.78,0.95,1.26,1.34,1.06,1.26,1.52,1.43,1.72,1.90,2.02,1.92,1.68,1.47,1.83,2.09,2.17,2.33,2.84,2.69,2.50,2.87,2.96,3.19,3.06,3.18,2.82,2.33,1.94,2.23,2.51,2.44,2.21,2.59,2.76,2.69,2.39,1.67,1.45,1.83,2.13,2.40,2.49,2.27,,,,,,,,,,,,,,,,
Jamaica (Butane),JMD/liter,38.97,37.56,36.48,36.86,36.86,40.43,42.32,42.75,41.88,43.26,44.32,42.96,42.52,41.14,44.73,46.06,48.51,47.26,45.61,46.33,51.29,53.43,54.69,53.68,51.47,50.94,47.59,48.06,47.02,51.30,53.39,58.74,61.61,65.11,63.32,55.57,52.03,50.44,53.73,50.83,49.92,46.87,39.49,40.66,41.06,44.95,46.65,51.97,47.64,45.95,49.77,46.39,45.04,47.14,50.66,48.36,51.17,52.18,50.10,51.70,51.77,51.75,53.76,56.87,54.33,58.97,65.13,73.63,77.60,79.81,86.28,86.59,80.15,82.71,86.83,91.43,90.35,87.27,84.09,77.50,74.45,73.00,68.12,68.95,66.31,72.11,77.86,75.63,74.38,68.40,64.49,66.31,72.17,75.21,74.4319,76.8284,81.2944,82.66,85.76,79.87,78.44,73.69,76.96,80.80,80.64,81.44,83.10,84.44,82.03,73.51,71.65,67.71,
Jamaica (Propane),JMD/liter,31.40,30.36,29.32,31.98,31.99,34.65,35.81,36.08,34.62,36.16,36.85,35.17,34.09,34.55,38.37,40.62,43.89,42.64,41.01,40.39,44.74,48.51,50.49,51.53,49.82,48.29,44.87,44.47,43.70,47.85,48.79,51.87,55.10,58.59,56.03,49.52,45.76,42.37,45.42,44.71,43.86,43.49,37.15,38.54,38.81,41.19,41.09,45.22,41.34,35.22,40.45,40.06,36.69,42.89,48.71,47.22,49.78,47.37,46.16,46.31,47.53,53.01,55.96,56.98,54.76,54.82,59.24,64.97,69.83,72.88,79.28,77.33,70.50,72.31,76.99,81.54,79.47,77.48,74.63,68.98,65.98,65.51,61.29,62.38,58.70,64.02,70.95,68.57,66.50,60.80,57.15,58.78,64.27,68.26,67.9337,68.4237,72.1112,73.40,76.83,70.99,70.61,66.38,69.26,73.08,71.91,71.41,73.22,74.43,72.34,82.76,79.68,75.38,
Jordan (LPG - 12.5kg),JD/CY,7.5,7,7,7,7,7,7,7,7,7,7,73,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,
Lebanon (LPG 10kg),LBP/cylinder,12900,12400,11975,12160,12275,12200,12660,12900,12400,13125,13575,13580,13700,14575,15475,15300,14125,13340,12925,12550,13860,14825,15150,15400,15850,15850,14975,14450,14575,15120,15400,15500,15620,16200,16780,14900,13375,13020,14025,14975,14825,14000,13200,13100,12150,11700,13120,14375,14525,14620,15050,14875,11000,11333,12875,15980,15050,15340,17725,17675,20320,23650,24475,26880,25529,24733,29450,49260,74350,116775,207480,269525,288057,304164,274811,304933,335636,399700,357385,325818,322385,371947,427118,439235,469944,570250,873563,1214520,1108429,912333,832250,786444,878778,932250,968889,949250,939333,936250,938143,943625,926000,848500,817571,867333,,,,,,,,,
Malawi ,MWK/kg,,,,,,,,,,,1999.99,,,,,,,2178.7,2178.7,,2076.02,2076.02,,,,,,,,,,,,,,,2119.87,2119.87,,,,,,,,1744.75,1744.75,1744.75,1744.75,1744.75,1744.75,1744.75,1744.75,1617.41,1617.41,1617.41,1617.41,1617.41,1617.41,1617.41,1880,1880,1880,1952,2065,2065,2065,2065,2065,2065,2175,2175,2175,2175,2175,2175,2640,2560,2956,2956,2726,2600,2600,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245
Malaysia,RM/kg,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,,,,,,,,,,,,,,,,
Malaysia (10 kg cylinder),RM/cylinder,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,,,
Malaysia (12kg cylinder),RM/cylinder,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,,,
Malaysia (14kg cylinder),RM/cylinder,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,,,
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,19.31,20.08,19.4,19.89,19.92,19.49,20.17,19.9,20.1,20.1,20.01,20.96,20.77,22.82,23.57,25.02,21.48,21.51,21.35,20.76,21.14,21.53,22.68,23.37,23.26,22.97,22.49,21.8,21.47,21.23,22.38,22.37,23.59,23.17,24.11,23.77,21.07,21.11,21.11,21.5,21.2,20.77,19.86,18.42,18.6,18.34,19.07,19.52,20.56,20.51,21.27,20.25,20.35,21.2,21.88,22.81,22.04,22.23,23.24,23.23,24.5,25.28,25.78,26.06,27.34,25.43,25.86,27.29,28.56,29.35,30.56,31.87,30.61,28.94,30.54,30.71,31.46,30.32,29.41,27.48,27.32,27.32,26.69,23.83,25.3,24.11,25.59,26.61,25.47,25.18,23.32,22.2,22.82,23.29,23.74,23.35,23.85,25.58,25.77,26.12,25.43,25.45,24.07,24.97,25.66,26.53,27.89,27.98,27.71,29.13,29.13,28.06,27.4
Mauritania (12kg cylinder),MRU/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mauritius (LPG 12kg),RS/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,190,190,190,190,190,190,190,190,,,
Mauritius (LPG 5kg),RS/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,80,80,80,80,80,80,80,80,,,
Mauritius (LPG 6kg),RS/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,95,95,95,95,95,95,95,95,,,
Mexico  - Baja California Region (Tijuana),peso/kg,,,,,,,,,,,,,,15.44,17.04,17.24,17.30,17.14,17.46,17.83,18.20,18.28,19.00,19.47,20.56,21.08,21.31,20.42,20.17,20.84,21.32,21.51,21.63,22.20,22.35,22.45,22.27,21.53,,,20.98,20.66,20.33,20.19,20.22,20.15,20.41,20.85,20.81,20.78,20.78,20.78,20.79,20.80,20.80,21.70,22.15,22.15,22.82,22.83,23.50,24.54,25.62,25.80,25.79,25.75,26.09,27.66,20.79,21.92,23.84,22.82,20.50,20.90,22.12,25.27,24.77,24.51,24.56,24.13,22.70,22.51,20.53,20.50,19.17,19.29,19.49,19.02,18.26,16.96,15.94,16.06,16.47,17.05,17.93,17.54,17.64,18.75,20.22,18.89,19.47,18.71,18.68,19.92,19.86,19.59,20.02,19.33,19.58,19.61,19.59,19.65,
