LPG (LCU/cylinder),Units,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25
Mexico  - Mexico Region,peso/kg,,,,,,,,,,,,,,14.66,15.29,15.30,15.28,15.24,14.84,14.77,15.29,15.99,17.56,18.70,18.76,19.08,18.45,17.58,17.32,18.76,19.07,19.18,19.73,20.33,20.18,19.49,19.25,19.06,,,19.23,18.14,17.00,16.75,16.73,17.10,17.81,18.45,18.65,18.15,18.03,18.22,17.92,17.92,19.44,19.91,20.25,20.14,20.71,20.80,21.38,23.18,24.48,24.99,24.53,24.78,26.03,26.53,22.20,23.29,24.71,23.20,20.90,21.25,22.44,24.33,23.74,23.29,23.02,23.34,22.98,22.36,20.41,20.49,19.24,19.58,20.11,18.77,18.05,17.07,15.95,15.97,16.39,17.09,17.49,17.12,17.32,18.23,19.61,18.33,18.89,18.13,18.08,19.25,19.24,19.21,19.80,19.66,19.88,19.92,20.03,20.03,
Mexico  - Mexico City,peso/kg,,,,,,,,,,,,,,14.65,15.31,15.33,15.29,15.11,14.70,14.64,15.31,16.01,17.48,18.63,18.60,19.05,18.64,17.71,17.19,18.83,19.16,19.30,20.06,20.64,20.54,19.74,19.34,19.21,,,19.50,19.10,18.19,17.88,17.83,18.27,19.31,19.75,19.97,19.83,19.70,19.74,19.06,18.77,20.94,21.52,21.47,21.07,21.50,21.60,22.37,24.12,26.24,26.24,26.13,26.00,26.82,27.45,22.08,23.27,24.83,23.54,21.53,21.89,23.05,24.71,23.67,23.17,22.78,23.12,22.59,22.01,20.09,20.22,18.86,19.16,19.63,18.29,17.64,16.70,15.66,15.86,16.28,16.82,17.18,16.82,16.99,17.93,19.20,18.09,18.55,17.79,17.76,19.00,19.02,19.00,19.52,19.28,19.53,19.57,19.65,19.65,
Mozambique,metical/kg,55,55,55,55,55,55,55,55,55,55,59,59,59,59,59,61,61,61,41,51,49,58,58,70,70,68,68,65,65,61,60,60,31,61,61,64,64,64,64,64,63,63,63,63,61,61,61,61,61,61,61,61,61,61,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,71,71,71,71,80,80,86,86,102,102,102,102,102,95,90,90,90,90,90,90,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,,,
Nepal (14.2 kg cylinders),NPR/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,1350,1375,,,,,,,1400,,,,,1400,1400,1400,1400,1400,1400,1400,1400,1375,1350,1350,1350,1350,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1400,1400,1400,1400,1400,1425,1450,1450,1500,1575,1575,1575,1575,1575,1600,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1795,1660,1967,1895,1895,1895,1895,1910,1910,1910,1910,1910,1910,,,,,,,,,
Nicaragua (LPG 25lb),córdobas/cylinder,217,211,212,217,225,233,242,240,234,236,249,251,265,282,303,284,269,272,268,287,286,300,323,333,331,332,320,312,308,316,316,316,333,360,368,368,316,291,299,303,295,288,266,254,258,258,267,278,286,275,265,250,231,245,267,273,276,281,284,293,302,332,353,367,359,345,364,392,412,434,466,474,474,446,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,436,436,436,436
Niger (12.5 kg cylinder),XOF/cylinder,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750
Niger (3 kg cylinder),XOF/cylinder,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
Niger (6 kg cylinder),XOF/cylinder,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
Niger (per kg),XOF/kg,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,,1900,1833,1800,1883,1800,1850,2050,1800,1870,1922,1805,1867,2800,2780,2600,2380,2500,2040,2150,1740,2040,2400,2000,2100,2060,1820,1760,1800,1840,1790,1730,1920,1900,1960,1980,2000,1900,1900,1892,1960,1675,1700,1778,1739,1680,1720,1760,1805,1880,1780,1800,1850,1860,1798,1800,1780,1770,1760,1797,1820,1780,1799,1801,1940,1808,1825,1806,1807,2660,3450,3413,3650,3769,3815,3851,3990,4194,4440,4560,4670,4684,4675,4875,4800,4840,4850,4940,4965,4900,4381,4387,4390,4398,4680.00,5020.00,5150.33,5080,6075,6820,6500,7645,6710,5618,5825,6691,6481,6749,7200,,,,
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,,1836,1881,1858,2000,1825,1875,2022,1933,1919,2103,1814,1900,2650,2425,2458,2367,2347,2250,2136,1889,2032,2400,2503,2344,2290,2190,2193,2114,1910,1856,1847,1923,1932,2087,1955,2020,1895,1901,1899,1898,1967,1912,1947,1899,1790,1830,1816,1928,1876,1831,1873,1843,1875,1820,1760,1725,1803,1831,1742,1768,1800,1997,2082,1934,1842,1839,1841,1848,1858,2005,3436,3910,3929,3980,4041,3982,3950,4253,4600,4783,4787,4853,4860,4856,4861,4884,4884,4900,4559,4296,4299,4378,4391,5015.00,5344.44,5671.05,4866,6820,6295,6840,7514,7500,6061,6678,6975,7476,7491,7911,,,,
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,,2000,1951,1950,1950,1950,2150,2000,1900,1994,2162,1975,2200,2750,2500,2350,2500,2300,2117,2200,1800,1750,2400,2550,2242,2250,2150,2033,1925,1800,1801,1810,1800,2075,2100,2000,2200,2067,2100,2083,1980,1900,1875,1918,1875,1906,1998,1989,1989,1923,1960,1870,1840,1800,1876,1911,1882,1911,1874,1800,1783,1780,1856,1848,1920,1853,1857,2350,2300,2900,2970,3392,3217,3234,3260,3300,3490,3650,3875,3981,4103,4110,4100,4435,4467,4667,4675,4675,4700,4524,4391,4432,4400,4407,5181.43,5202.50,5446.24,5411,6080,7609,6999,7751,6900,5788,6350,6133,6838,7165,7189,,,,
Peru (10kg),soles/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,19,24,15,11,15,19,17,22,25,27,35,38,37,38,39,43,43,44,45,52,56,54,55,55,54,53,53,53,54,53,52,50,49,48,48,48,48,47,46,45,44,45,46,46,46,45,46,47,49,50,50,50,56,55,55,57,57,50,55,51,
Peru (15kg),soles/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5,4,5,22,5,2,2,19,43,,44,43,53,58,61,64,70,79,81,81,84,90,77,79,78,77,85,82,81,78,77,75,75,75,74,74,71,69,68,69,71,71,70,70,71,73,76,78,79,78,ministry stops reporting this fuel,,,,,,,,
Peru (3kg),soles/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,17,14,17,17,18,17,18,18,18,18,18,16,16,16,15,15,16,17,17,17,17,15,16,16,16,16,16,18,16,17,20,18,18,ministry stops reporting this fuel,,,,,,,,
Peru (45kg),soles/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,67,59,4,56,65,5,68,56,79,129,,133,128,155,172,178,181,188,220,233,224,230,234,229,228,227,222,225,222,218,211,208,202,203,206,202,201,196,190,186,188,193,192,191,192,198,202,208,214,213,213,207,208,210,212,211,215,235,221,
Peru (5kg),soles/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,8,4,8,8,5,8,7,10,15,,15,15,18,20,20,23,25,28,29,28,29,30,28,27,27,27,29,29,28,28,27,26,26,26,26,26,25,24,24,25,25,25,25,23,25,26,26,28,27,27,26,25,25,25,26,27,29,47,
Peru (Petroperu Calla district where Lima is),soles/gallon,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.67,1.87,1.84,1.84,1.84,1.73,1.73,1.81,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.64,,,,,,,,,,,,,,,,,,,,,3.55,3.73,3.8,3.77,3.64,3.54,3.46,3.33,3.18,2.98,2.83,2.76,2.58,2.64,2.64,2.57,2.57,2.43,ministry stops reporting this fuel,,,,,,,,,,,,,,,,,,,,,
Philippines (LPG 11 kg) - Manila,PHP/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia (Gas Cylinder LPG (I think 16 kg see https://www.argaam.com/en/article/articledetail/id/524074)),SAR/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85
Senegal (6kg cylinder),XOF/cylinder,3230,3090,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885
South Africa - Coastal Regions,South African cents/kg,,,,,,,,,,,,,,2019,2040,2038,1937,2032,1955,1864,2092,1990,2028,2045,2236,2165,2142,2073,2111,2180,2318,2356,2372,2372,2551,2490,2238,2106,2095,2196,2367,2451,2443,2310,2342,2326,2343,2313,2403,2379,2378,2346,1968,1706,1904,2352,2348,2384,2364,2389,2516,2472,2666,2752,2801,2628,2486,2549,2775,2869,2861,3151,3335,3259,3134,3204,3454,3523,3472,3255,3311,3146,3166,3068,3146,3227,3087,3610,3517,3073,3148,2853,2691,2917,3167,3316,3446,3547,33494,3535,3516,3470,3335,3313,2399,3289,3312,3348,3500,3514,3542,3540,
South Africa - Gauteng Region,South African cents/kg,,,,,,,,,,,,,,2207,2228,2226,2125,2221,2144,2053,1904,2178,2217,2234,2438,2367,2344,2275,2314,2384,2522,2559,2576,2576,2755,2694,2451,2319,2308,2409,2580,2664,2657,2524,2555,2539,2556,2526,2628,2604,2603,2571,2193,1931,2129,2577,2573,2609,2589,2615,2752,2708,2901,2988,3036,2864,2721,2784,3010,3104,3097,3387,3570,3500,3376,3446,3696,3765,3714,3496,3553,3388,3407,3309,3404,3486,3346,3868,3776,3332,3407,3111,2950,3176,3426,3575,3742,3753,3790,3831,3812,3766,3631,3609,3595,3585,3608,3644,3816,3829,3858,3856,
Syria (LPG subsidized 10kg),lira/cylinder,1800,1800,1800,1800,1800,1800,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,15000,15000,15000,15000,15000,15000,15000,15000,,,,,,,,,,,,,,,,
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,16.44,15.21,13.86,13.69,13.97,13.92,13.91,13.40,12.94,13.11,13.02,13.50,13.61,16.94,20.82,20.79,17.96,15.18,15.06,13.85,16.09,17.46,20.33,20.51,20.04,19.43,16.78,15.81,15.90,18.13,19.17,20.45,20.96,21.70,22.31,18.46,15.59,14.69,14.97,16.47,17.79,17.73,14.30,13.15,12.72,12.71,15.06,15.16,15.60,18.38,16.79,13.73,9.70,11.23,10.99,10.79,12.12,12.54,13.48,15.29,15.58,18.41,18.99,18.03,17.29,16.53,18.28,21.57,23.02,23.95,28.03,29.69,26.16,26.04,27.06,29.99,31.71,30.85,28.54,27.62,25.97,25.21,24.60,26.02,26.14,23.92,26.02,25.94,21.36,20.34,18.64,18.11,20.63,23.98,26.78,26.34,26.27,25.28,23.41,24.12,23.91308667,22.98,22.95,23.05,22.62,22.51,22.68,23.26,23.29,23.26,22.56,,
Thailand (LPG cooking) - Retail Price,Baht/kg,22.29,22.29,20.50,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.82,20.96,20.96,20.50,20.49,20.49,20.49,21.04,21.15,21.15,20.90,20.38,19.82,19.82,20.35,21.84,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.09,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,19.87,20.87,21.87,22.87,23.87,24.87,24.87,24.87,24.87,24.87,24.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,,
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,16.44,15.21,13.86,13.69,13.97,13.92,13.91,13.40,12.94,13.11,13.02,13.50,13.61,16.94,20.82,20.79,17.96,15.18,15.06,13.85,16.09,17.46,20.33,20.51,20.04,19.43,16.78,15.81,15.90,18.13,19.17,20.45,20.96,21.70,22.31,18.46,15.59,14.69,14.97,16.47,17.79,17.73,14.30,13.15,12.72,12.71,15.06,15.16,15.60,18.38,16.79,13.73,9.70,11.23,10.99,10.79,12.12,12.54,13.48,15.29,15.58,18.41,18.99,18.03,17.29,16.53,18.28,21.57,23.02,23.95,28.03,29.69,26.16,26.04,27.06,29.99,31.71,30.85,28.54,27.62,25.97,25.21,24.60,26.02,26.14,23.92,26.02,25.94,21.36,20.34,18.64,18.11,20.63,23.98,26.78,26.34,26.27,25.28,23.41,24.12,23.91308667,22.98,22.95,23.05,22.62,22.51,22.68,23.26,23.29,23.26,22.56,,
Thailand (LPG industry) - Retail Price,Baht/kg,22.29,22.29,20.50,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.82,20.96,20.96,20.50,20.49,20.49,20.49,21.04,21.15,21.15,20.90,20.38,19.82,19.82,20.35,21.84,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,20.83,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,19.87,20.87,21.87,22.87,23.87,24.87,24.87,24.87,24.87,24.87,24.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87,,
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,16.44,15.21,13.86,13.69,13.97,13.92,13.91,13.40,12.94,13.11,13.02,13.50,13.61,16.94,20.82,20.79,17.96,15.18,15.06,13.85,16.09,17.46,20.33,20.51,20.04,19.43,16.78,15.81,15.90,18.13,19.17,20.45,20.96,21.70,22.31,18.46,15.59,14.69,14.97,16.47,17.79,17.73,14.30,13.15,12.72,12.71,15.06,15.16,15.60,18.38,16.79,13.73,9.70,11.23,10.99,10.79,12.12,12.54,13.48,15.29,15.58,18.41,18.99,18.03,17.29,16.53,18.28,21.57,23.02,23.95,28.03,29.69,26.16,26.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand (LPG low income hh) - Retail Price,Baht/kg,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.13,18.56,18.65,18.65,18.40,17.88,17.32,17.32,17.85,19.34,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,18.59,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo (12.5kg bottle),XOF/cylinder,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,,,,,,,,,,,,,,,,,,
Togo (6kg bottle),XOF/cylinder,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,,,,,,,,,,,,,,,,,,
Uruguay,UYU/kg,35,35,35,35,35,35,35,35,35,35,35,35,35,37.80 ,37.80 ,37.80 ,37.80 ,37.80 ,37.80 ,37.80 ,37.80 ,37.80 ,37.80 ,37.80 ,37.80 ,38,38,38,38,38,38,44,44,44,44,44,44,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,46.90 ,50.14 ,50.14 ,50.14 ,50.14 ,50.14 ,56.16 ,56,56,56,56,56,56,56,59,60,63,63,63,63,63,63,63,63,63,63,73,73,73,73,73,73,73,73,77,77,77,77,76.75,80.75,80.75,80.75,80.75,80.75,80.75,80.75,80.75,80.75,80.75,88.46,88.46,88.46,88.46
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,,,,,,,,,,,,,54,56,59,62,60,58,55,54,53,55,57,59,60,61,61,61,,57,60,61,63,64,64,64,64,64,64,64,59,59,59,59,59,,59,59,62,62,64,64,64,57,57,57,57,58,58,60,62,62,62,62,63,63,63,63,63,63,65,65,65,65,65,65,65,65,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,,,,,,,,,,,,,216,224,236,248,240,228,220,216,212,220,228,236,240,244,244,244,,228,240,244,252,240,256,256,256,256,256,256,236,236,236,236,236,,236,236,248,248,256,256,256,228,228,228,228,232,232,240,240,248,248,248,252,252,252,252,252,252,260,260,260,260,260,260,260,260,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,,,,,,,,,,,,,23,23,25,26,25,24,23,23,22,23,57,25,25,25,25,25,,24,25,25,26,27,27,27,27,27,27,27,25,25,25,25,25,,25,25,26,26,27,27,27,26,24,24,24,25,25,25,25,26,26,26,27,27,27,27,27,27,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Zimbabwe,ZWL/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,165,166,203,226,222,234,268,338,372,702,754,931,1078,1162,1133,1209,1345,1450,1861,1911,1912,6359,8474,6762,7415,9641,10597.17,10597.17,11744.78,11744.78,20290.5,,,,24.45,24.45,24.45,24.5,25.21,46.58,47.51,41.63,43,43
Zimbabwe,USD/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,1.92,1.87,2.05,2.14,2.05,2.03,2.07,,2.32,2.25,1.99,2.02,1.88,1.85,1.78,1.83,1.91,1.77,2.06,2.02,1.72,1.73,1.57,1.49,1.6,1.72,1.85,1.84,1.85,1.85,1.86,1.89,1.89,1.89,1.78,1.78,1.78,1.78,1.81,1.83,1.86,1.61,1.61,1.61
